@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'i stand by what i said in that i do not know if i\'m going to be filming ever again','',neutral
'but the rest of it came across as a really angry , drunken rant','',negative
'i do not know when or if i will end up seeing anyone again but please know that i can understand if you do not want to see me again','',neutral
'if anyone wants to give me a call i\'d be more than happy to answer it','',positive
'hey all !','',neutral
lol,'',positive
'my howland friend alyssa came with me and we danced the night away . most of my friends went which was awsome','',positive
'there was only a few of us single people there but it was cool','',positive
'which is one of the slow songs i got to dance with one of my friends nick who graduated mathews last year . hes awsome we danced alot together ! luvs','',positive
'it was really cold tho','',neutral
'the dance was awsome . the music was really cool','',positive
'too much rap and not enough rock for my taste but it was all good i was just happy getting out on the dance floor and getting my groove on . lol','',positive
'i also got to see some howland people i once knew ( drew was one ) that was pretty cool','',positive
'haha we did the cha cha slide and we were all so close together','',positive
'they need a bigger dance floor lmao','',neutral
'i just loved last night !','',positive
ha,'',positive
'then lyssa , me , matt , and kayla could not find someplace good to eat that was open 1 in the morning so we all went in to giant eagle and bought junk food haha','',positive
'we were all in our homecoming dresses still','',neutral
'it was ammusing . hehehe . but yea overall i have not had that much fun in a very long time !','',positive
'im done telling you about my wonderful night lol','',positive
'ill be puting pics up soon','',neutral
'grace danielle was born wendsday , october 11 , 2006 at 11:48 am','',neutral
'i can not believe she is finally here ! !','',positive
'after the doctor on tuesday , i cleaned house , played basketball and soccer with levi , then went to amanda\'s to sit and talk with her while she moved in','',neutral
'except she dose not look a thing like me . everyone seems to think she has alot of daniel in her','',neutral
'😃 levi is really exciting to be a big brother , he thinks she is sooooo cool',😃,positive
'i will be putting more pictures up probably sometime this week so keep your eye out for the amazing grace ! !','',neutral
'i go to archbishop ryan high school','',neutral
'i want to go to ccp when i graduate and take up a career in either nursing or ultrasound technician','',neutral
'my life on the weekdays is tae kwon do its what i was born to do i love i there i love to teach people who want to be taught','',positive
'everyone there is amazing its like my second home','',positive
'thats about it if you want to know anything else about me just let me know','',neutral
'luckily we won that one','',positive
'then yesterday , the tournament in ajax','',neutral
'it was pertty goood','',positive
'annnd this morning we beat gl roberts','',neutral
'overall it was a pretty good tournament','',positive
'and about me i guess','',neutral
'i\'m always happy with those','',positive
'had a good chill time with team at dever\'s house','',positive
'his dog was sooo cute','',neutral
heh,'',positive
anyway,'',neutral
'i do not know why','',neutral
'however i do miss volleyball','',negative
'photobucket - video and image hostin','',neutral
'even it maybe means i will not see you screen again','',neutral
'so i went to spend the night at irvine\'s eye patch\'s place','',neutral
'i woke up once during the dream and was like , \" oh crap , no , go back \" and managed to get back to it somehow','',negative
o_,'',neutral
'so in the dream there were times where we were both kinda unsure , but it was still happy ( for the both of us i hope )','',positive
'that\'s odd though , as i do not usually care for dressy occassions','',positive
'but hey','',neutral
'i totally did not want to wake up , i can say that','',neutral
'so yeah , i just had to share that','',neutral
'; _','',neutral
'rd , sweet and someone else while that lady was doing my hair','',neutral
wtf,'',negative
'i\'m finally reading the amazing adventures of kavalier & clay','',positive
'i got a copy for my birthday','',neutral
'i\'m not very far along but i\'m quite enjoying it','',positive
'i\'m in buena vista at these hot springs and it should be awesome but i did not sleep one little bit last night','',positive
'it seriously took my 4 hours to fall asleep for like one half-hour then 10 minutes in between each of those little episodes','',neutral
'i do not want to go on a hike or anything at all','',neutral
'i think the pain and awkwardness of attending your reception is worth seeing your face again','',negative
'i could have danced with you','',neutral
'i miss you so much','',negative
'i ve never missed anyone so much as you','',negative
'i\'m sitting here in this lobby thing and crying and it\'s very embarassing but i can not help it because i just want you and me to run away and i want you to hold me for one whole night and rock me to sleep','',negative
'all that stuff i just have to imagine or dream up for now','',neutral
'i want to go home','',neutral
'i miss you','',negative
'well im finishing up my first week at jubans , its really awesome','',positive
'they schedule me for pantry whihc is like aps salads prep helper guy im not exactly sure what my job is but i work the whole time im there','',neutral
'we get drinks after work too and the food i can eat is awesome','',positive
'i got a b on my german lit test','',neutral
'messed up a quiz in biology which sucks','',negative
'oh well its nothing too too bad but its making me nervous','',negative
'truly horrifying footage of a disney character orgy backstage at one of their shows .','',negative
'well , not so much an orgy , but really rather amusing','',positive
'i just stood there in shock','',positive
'various books on classical greek art are stacked about my room , waiting to be used for my classical civ essay','',neutral
'i ve left my apollodorus library of greek mythology on my bedside table , having just finished jason and the argonauts','',neutral
'amanda , latin , the verb \" to love \"','',neutral
humanities,'',neutral
'another slight parallel i find amusing : jason played heracles in alcestes last year , just as i am playing hippolyta in a midsummer night\'s dream','',positive
'sock n buskin is a really fun theatre company , i\'m liking my occaisional rehersal','',positive
'the point of this spiel wa','',neutral
'and by extensio','',neutral
'this awesome progra','',positive
'i had bought him a flask with the latin inscription te amo on it','',neutral
'i spent a couple of hours on a trip last night/this morning in the early am','',neutral
'i spoke with the earth , the sky and everything i feel is real','',neutral
heh,'',neutral
'in style of zen buddhism , i say that we are all wrong , the monkey is god , and apples are the truth','',neutral
phi,'',neutral
'actually , i think i dropped it in a bottomless puddle last night','',neutral
'so adam and i went to app state to go hiking','',neutral
'i\'m broke like whoa , but i\'m still working','',neutral
'i ve been talking to laura on the phone almost daily , and we re both very excited to see that little baby growing inside of her','',positive
'that would be so awesome','',positive
'snow in october','',positive
'i have not even seen snow in years and to have it in october it too much to wrap around my little head','',positive
'i\'m missing everyone in wisconsin with the blue stars , and sad that i had to leave early','',negative
'miss you guys','',negative
'other than all of this i\'m still trying to move upstairs , and it looks like tuesday will be the day','',neutral
'hope all is well in your worlds','',neutral
'i can honestly say my views of the world i live in changed while in high school','',neutral
'i remember being so impressed , with the youth programs of the other parishes in my area , and the stong bond that everyone had withen their own groups , regardless of the social status of each person','',neutral
'which was such a contrast when compared to the small group i belonged to','',neutral
'we began to help serve lunches at the local loaves & fishes , volunteer work for the school at our parish , offer lodging for other traveling youth groups','',neutral
'i remember doing endless fundraisers for almost everything we did','',neutral
'see , the whole time that i was trying to develop my own faith , attending events with other parishes , and all the work i did with my own group','',neutral
'and sadly','',negative
'everyone has been given a gift in life','',neutral
'simply by just listening to them speak , and more often just being in someones presence has been known to have the answer someone is looking for to just dawn on them','',neutral
'it was too much weight for me to carry , my own plus everyone elses','',negative
'and then it happened','',neutral
'my son','',neutral
'this is his first year in band','',neutral
'every now and then','',neutral
'i get a jolt of something real loud and it makes me jump','',positive
'she is afraid to','',negative
'i hope that he can learn to play well and i really do hope he is enjoying himself','',positive
'no matter the pain is may cause the rest of the family','',negative
'as long as he is happy','',positive
'perhaps a nice hot bubble bath and a bottle of rum would help','',neutral
'decided to go to work','',neutral
but,'',neutral
'vegas was a lot of fun','',positive
'the reception was a friggen blast','',positive
'champagne , music , and me trying to catch those damn flowers','',positive
'( did not catch em by the by ) imagine this : my bro taking his neck tie off of marie\'s thigh with his teeth while \" girls just wanna have fun \" blasts in the background','',positive
'we went shooting in our regular spot out in the desert behind this mountain','',neutral
'( look at my pics )','',neutral
'add some jack and cokes and a wendy\'s drive through and it\'s a real party !','',positive
'my bro is leaving for iraq again and , well , you know how that goes','',neutral
'as sean put it , it\'s not like vietnam where 4 of 5 americans will die , so that really put it into perspective for me . i know he will be safe and come home in one piece , but the scary thought still kinda lingers in the background of my mind','',negative
'everybody hates everybody , everybody lies , talks shit behind backs , and treats people like shit','',negative
'my mother truly wants to murder my father , and then gets pissed off when i do not agree with her','',negative
ugh,'',negative
'ya , i\'d say that\'s some fucked up shit','',negative
'😃 it was the perfect end to a crappy day',😃,negative
'well you know','',neutral
'basically , i just want to focus on staying busy and staying happy','',positive
'so , if you would like to contribute to the \" make me smile \" foundation \" , let\'s party','',positive
'after school i went home and got ready to go the the homecoming parade','',neutral
'i rode on the firetruck w/ the cheerleders and v-ball players','',neutral
'that was sooo fun','',positive
lol,'',positive
'hehehehhe 😉 neeeways',😉,positive
'after that we went to wal-mart and walked around','',neutral
'😃 at the game',😃,neutral
'we were totally awesome ! ! !','',positive
lol,'',positive
'we won by several of points','',positive
'yay ! ! !','',positive
lol,'',positive
'after the game we went to the dance where i had the best night of my life ! !','',positive
'was so awesome','',positive
'i cant even explain in words how much fun i had','',positive
'😉 hehehehe',😉,positive
'i can honestly say that was the best homecomg ever ! ! !','',positive
'its soooo sad b/c it was my last one','',negative
'😦 at least i had a blast ! ! !','',positive
lol,'',positive
'but yea','',neutral
'i dont know what else to say except that i love spending time w/ joe','',positive
'😃 * sighs * lol',😃,positive
'and hanging out w/ celeste and matt was totally awesome 2 ! !','',positive
'love u all !','',positive
'broadcasting this time from the new world','',neutral
'exciting , no','',positive
'so , to the task','',neutral
'where did we leave off','',neutral
'i will start my narrative with a little anecdote about how small the world really is . so i was going to work one day , headed to one of the hostels around berlin to pick people up for the tour , and then bring them back to the brandenburg gate where the tour starts','',neutral
'as i was preparing to leave , one guy over at the computers yelled out for me to wait , approached me and said hello','',neutral
'so he just took his backpack with him and came on my tour','',neutral
'we had a great time catching up , and went out that night together as well','',positive
'but it\'s certainly strange how you randomly run in to people you have not seen in years , in little hole-in-the-walls in europe','',positive
'fun times','',positive
'and this particular piece was by far the best play i have ever seen','',positive
'it was also incredibly simple , cutting the normally huge cast down to only seven performers','',positive
'it\'s moments like that that remind me why i ve chosen theatre as a profession','',neutral
'i was lucky enough to be able to stay with some friends to cut down on the cost , and see a different side of london life','',positive
'it was sooooo much fun','',positive
'i saw most of the major sites on my own , and i went to the theater almost every night i was there','',neutral
'the show was trash','',negative
horrible,'',negative
'horribly acted , horribly directed , weak script','',negative
'and interminably long','',negative
'three hours of horror','',negative
'i wanted to leave at intermission , but my date was really enjoying it ( should have been a sign ) so we stayed','',positive
'i guess the one good thing i took from it was that i know now that the british are just as capable as we are of producing really awful work','',negative
'while in london i also saw coriolanus at the globe theater','',neutral
'now this was amazing','',positive
'the performers were incredible , and one of the generals was played by geoffrey , the butler from fresh prince of bellaire','',positive
'that in itself was hilarious , and made us love the show even more','',positive
'i also saw les miserables for the first time , and it was fun','',positive
'loved london','',positive
'loved the free museums','',positive
'especially the british museum','',neutral
'soooo many monuments , including two statues in front of buckingham palace that had a conspicuous communist message','',neutral
'now maybe i was just reading too much into this , or maybe i had spent too much time in the eastern bloc talking about communist symbolism','',neutral
'and the funniest part , the two statues said they were donated by new zealand','',positive
curious,'',positive
'next time you re in wellington , watch out for the kiwi commies','',neutral
'now i have a confession to make : before the world cup began i had actually never seen an entire soccer game from start to finish','',neutral
'the hordes of people would change from day to day , for instance there was a three day period where we had over 90,000 swedes in the city , leading up to their dramatic defeat at the hands of zeh germans','',positive
'then there were the brazilians , everywhere , singing-clapping-dancing-taking pictures , and of course the pale and pasty brits with their cock-eyed stares and drinking songs','',positive
'loads of fun','',positive
'i did not have tickets to any of the games , but my group of friends would always go to a cafe or bar of the nationality that was playing to watch the match','',neutral
'so to a french cafe for the france-swiss game , a tapas bar when spain played , drank caiprinhas with the passionate brazilians , etc . it was a colorful and hilarious way to take part without fighting the crowds','',positive
'another interesting element was the latent patriotism that emerged during the cup','',positive
'now this merits explaining : before the world cup began , if you waved a german flag in the streets , you would probably be called a nazi and at the very least labeled as a radical right wing nutter','',neutral
'and for what it\'s worth i agree with them , it makes me nervous too','',negative
so,'',neutral
'people were genuinely excited about supporting their national team , and taking pride in its accomplishments','',positive
'now this newfound enthusiasm certainly was not shared by everyone','',positive
'and of course no one can laboriously dissect an idea better than the germans','',neutral
'in june i had also been training at work to lead tours of sachsenhausen concentration camp , which i started at the end of the month','',neutral
'given the dark history of such a place you can well imagine the difficulty of retelling that information , and trying to put it into some kind of historical context','',neutral
'after a july of beautiful weather and great summer adventures , i traveled with my good australian friend kurt to a theater festival in cyprus','',positive
'the occasion was that a good friend of mine from north texas , jessica , was playing the title role in medea at a theater festival there','',neutral
'now this was ridiculous amounts of fun','',positive
'the city is a sweaty , dirty , polluted hole','',negative
'take your impression of a squalor-filled mediterranean capital , and add this to your image : 10 story apartment buildings everywhere , in 100 degree heat , all cooled by wall-mounted air conditioners , a.k.a. swamp boxes','',neutral
'now imagine the condensation from thousands of swamp box coolers pitter pattering on your head as you stroll down the trashy athens streets','',negative
'now add a couple of poorly placed ancient columns','',neutral
'and the city itself really is lovely , in it\'s own way','',positive
'but two days back to back was more than enough','',neutral
'now this was really amazing','',positive
'it took us about two hours to get out there , and then we climbed around and played on the rocks for about an hour , taking pics of the magnificent old temple ruin that is literally clinging to the cliff face','',neutral
'and then we watched in amazement with fifty other tourists as the sun went down in front of the temple , over the mediterranean','',positive
'the sky is so amazing in greece , it feels like you could really reach up and touch it , it\'s so close','',positive
'just fyi','',neutral
'not bad','',neutral
'cyprus was amazing','',positive
'we saw jessica\'s production of medea , and were treated incredibly well by her colleagues at the festival','',positive
'we stayed in a tiny mountain village called droushia , and these people brought hospitality to incredible new heights','',positive
'they did everything they could to make us feel welcome , everything from putting us up in a beautiful hotel , refusing to let us pay for anything , and making sure that our stay on their island was as enchanting as the stories always make it out to be','',positive
'tomorrow we will go somewhere special .','',neutral
'the next morning , the last day of the festival , they piled us all into four wheel drive vehicles , and took us off the map to an area that i will henceforth be labeling the blue lagoon','',neutral
'imagine the most incredible , horseshoe shaped cove , with unimaginably blue water , and a giant stone underneath the water , hundreds of meters long and wide , adding depth to the color','',positive
'our hosts had brought along a lunch of fresh fruit and we broke our fast on a cliff overlooking the whole gorgeous expanse','',neutral
'it was really interesting staying with them in this little mountain village , and getting to experience a bit of what their culture was all about','',positive
'oh and the food is incredible','',positive
'but not feta','',neutral
'haloumi has nothing to do with feta','',neutral
'its really a testament to the vision of the ancients that in our world of skyscrapers and technical gadgetry , we are still fascinated by a two thousand year-old arrangement of stones','',positive
'after returning from greece my last few weeks in berlin passed very quickly','',neutral
'the time flew by and before i knew it , august was at an end and my doorstep was graced by my best friend lance , who had come to berlin for my last week','',neutral
'so i spent the next six days in a haze of working my final tours , partying , and showing lance the city that i had come to love so much over the last two years','',positive
'people say london or paris is expensive ; no','',neutral
'but we did not let that discourage us','',neutral
'we had a ball in zurich','',positive
'we went on a walking tour , went to the city museum ( located in an old castle , very cool ) , and had a good time relaxing and enjoying the amazing views','',positive
'the city is incredibly beautiful , tucked into the alps and right on the water','',positive
'i think the most important thing i can say about this city , is that all of the rumors : that the city\'s dirty , the people are rude , the language barrier is insurmountable , the metro is incomprehensible , you things will be stolen , that they hate americans','',negative
'it\'s called the city of love and light for a reason','',neutral
'the eiffel tower is breathtaking , and seeing it in person destroys its cliche and makes you fall in love with the thing','',positive
'the people are absolutely lovely','',positive
'we encountered so many genuinely wonderful , helpful , content people','',positive
'everything from trying to order a baguette in the morning ( my francais is tres terrible ) to asking directions or talking to cabbies , we were always pleasantly surprised at how open and welcoming they were','',positive
'and they all seem to really enjoy their city','',positive
'they know how beautiful it is , and they appreciate it','',positive
'and man , it is gorgeous','',positive
'and people are out in them all the time','',neutral
'there was a fabulous sense of community there','',positive
'my favorite part about the city parks were the nap chairs','',positive
'there were people all over the place , and lots of benches and chairs','',neutral
'i thought : \" that\'s strange , what\'s that about ?','',positive
'we found out when we headed over to two of these chairs that were situated in the shade , and plopped down','',neutral
'we looked around and noticed that there were lots of people all over the park , in the municipal nap chairs , taking a snooze','',neutral
'so we did the same','',neutral
'what other city would use tax payer dollars to provide napping chairs in a public park','',neutral
'vive la france','',positive
'we really had a ball in paris','',positive
'we went to versailles , we went to notre dame , and on a fabulous bike tour','',positive
'the most interesting thing we learned on the bike tour was that when the revolutionaries stormed the bastille , there were only 7 prisoners left in it','',positive
'montmartre , the old bohemian artist district , five minutes from the sacre coeur cathedral','',neutral
'the cathedral is the highest point in paris , and from its northerly vantage point , you have the entire city spread out at your feet','',neutral
'it\'s a pretty breathtaking sight','',positive
'on the steps there was always sort of an impromptu party with musicians and performers and other city-watchers gathering with a bottle of wine and a merry spirit','',positive
'those evenings on the steps are some of my favorite memories from paris','',positive
'what an incredible end to an incredible journey','',positive
'thus , is my two year grande tour at an end','',neutral
'i ve returned ready for a fresh start , collecting new experiences on this side of the pond','',neutral
'i was also lucky enough to be hired to direct a show for frenship high school , which went up last sunday','',positive
'it was a commedia dell arte piece titled the red hat , and went extremely well','',positive
'it was a nice way for me to get to stretch those theater muscles and earn a little something at the same time','',positive
'and though my european adventure is over ( for the moment ) my american one starts tomorrow','',neutral
'i\'m excited about the move , and the opportunities and challenges that await me there','',positive
'there was a lot to pack in','',neutral
'i hope all of you are well ; that you have made it through the summer , and are excited about the upcoming ( rapidly approaching ) holiday season','',positive
'i wish you all a fabulous week , and a warm and safe start to the wintry season','',positive
'all the best till we meet again','',neutral
'first day of school','',neutral
'my classes all seem fine','',neutral
'but math just sucks , and i ve accepted that','',negative
'some of my teachers seem quite amazing , and others i know for a fact to be amazing','',positive
'so , all-in-all , pretty good , right','',positive
'honestly , while i was dating the child , i barely saw him in school','',neutral
'unless brandon and meg break up , that is . which is unlikely , so i should not even hope on that one','',neutral
'i also found out that junior year , will , in fact , be a bitch','',negative
'ap world is going to be the hardest thing i will ever do ( academically , anyway )','',neutral
'it\'s nothing a strong woman such as myself cannot handle with a little bit of dragonforce and mental pep talks','',neutral
'you can handle high school drama . \" ) also , i have so many friends , and all of them are true , caring , trustworthy friends who love me and are supporting me 100\%','',positive
'i can come through this year triumphantly and with grace','',positive
'i have looked forward to this year even before last year ended','',neutral
'this is my year to be happy','',positive
'this is my year to try new things and to succeed','',positive
'this is the year when i get to test myself : my mind , my body , and myself','',neutral
'this is my first year of loving myself','',positive
'i also found out that junior year , will , in fact , be a bitch','',negative
'i have recieved homework in four of my seven classes','',neutral
'ah , well','',neutral
'( \" you can deal with this , nyssa','',neutral
'you can handle high school drama . \" ) also , i have so many friends , and all of them are true , caring , trustworthy friends who love me and are supporting me 100\%','',positive
'i can come through this year triumphantly and with grace','',positive
'this is the year where everything happens','',neutral
'this is my year to be happy','',positive
'this is my year to try new things and to succeed','',positive
'this is my first year where i am truly nyssa jane towsley','',neutral
'this is my first year of loving myself','',positive
'i look forward to learning and discovering even more of who i am , and loving every inch of it','',positive
'i cannot believe the nerve of this man . god','',positive
'i need to just','',neutral
'kill something','',negative
'i think i\'d really like to talk to you right now','',neutral
'at least they punched holes in it ) that is my bio lab course \" book .','',neutral
'what\'s even worse , it\'s copied so poorly that the last half inch of text on the far right side of the page is cut off , so as i try to read in preparation for the lab tomorrow i\'m trying to coherently complete sentences and make sense of it all , which is often impossible because so much is left out','',negative
'again , makes me so angry','',negative
'that\'s like , four or five or more meals','',neutral
'or two meals in europe','',neutral
'poopy poopy poopy','',negative
'they pay room and board , and tuition and that\'s it','',neutral
'so i guess that counts for something','',neutral
'* cries * such is life i spose','',negative
'i am in such a bad mood and i\'m playing the blame game in my head , getting angry at people for things that are really quite trivial','',negative
'i forgot how demeaning bme classes are','',negative
'i have not','',neutral
'he was asking all these questions that i was completely baffled by and people were just spouting answers','',positive
'sometimes i wonder how in the world i made it in , and every day i wonder how i\'m going to make it through','',positive
'i mean , we already need 133 ( ish ) hours to graduate which , for you non college people , is about 8-10 more than any engineering major and more than that more for a non engineering major','',neutral
'i need to find a good time/place where i can go pray and unwind','',neutral
'i do not feel like i ever have that kind of privacy where i can talk to god and cry and figure things out','',negative
'i always tear up in church too , for different reasons','',negative
'i love the way god brings people together','',positive
'ok . i\'m feeling somewhat better now','',neutral
'girls , i highly reccomend in her shoes , especially if you have a sister i\'m enjoying it immensely and it has effectively distracted from my schoolwork almost all day','',positive
'i think i spent the better part of two hours reading today','',neutral
'i spose i\'m off for now','',neutral
'these small indicators remind me that , in the silvia plath sense of the concept , i\'m dying','',negative
'someday i will be no more than slime coating the expensive , cushiony , velvety inside of a coffin','',negative
'the rickety deck i\'m sitting on could fall , i could catch a stray bullet to the noggin on my way to my car in the parking lot , i could be nailed by a drunk , inattentive , careless , or simply unfortunate driver on the way home','',negative
'these are all unlikely , but they happen','',neutral
'my mortality is nothing new , but i constantly have to ponder what i desire to take , achieve , or feel in this life','',neutral
rebuilt,'',neutral
saved,'',neutral
wrote,'',neutral
'or do i simply want to live an average american life and be remembered under a large stone in a well kept cemetery , forgotten after my immediate reletaves , children , and grand children','',negative
'i could live in a suburban house environment with a family , a few cars , a boat , and a dog in the back yard','',neutral
'or should i sink my money into trying to acquire more and live in a parade of homes house with yuppie vehicles in the front , a mastercraft boat with a huge ski rack , the list can go on and on','',neutral
'does an afterlife really exist','',neutral
'should i start devoting myself to god , if there is such a being , in hopes of making it to heaven','',neutral
'there would be a constant trepedation that there is no gold at the end of that rainbow','',negative
'no wonder past writers were able to produce their amazing feats of feeling and thought','',positive
'their distractions were very limited','',neutral
'my thoughts at the moment are somewhat melancholy , but can be completely forgotten at the push of a button mounted to an xbox , dvd player , or vcr','',negative
'the first words that come to mind are \" in closing \" or \" to conclude \" , and then i quickly write a summary of what i just finished writing','',neutral
'i am now the proud father of daisy alexandria davolls','',positive
'its all official , we sorted it out at the civic centre on friday','',neutral
'i now have a sweet little thing , that totally depends on her mum and me to do whats best','',positive
'its a funny old game life , but i think i am one step closer to understanding its purpose and meaning now','',neutral
'i had a long hard look at my life over the last 14 days , and to be honest i wept','',negative
'i wept for all the mistakes i made where i put my feelings before the feelings of others','',negative
'i wept for all the times i said \" f*ck you \" instead of \" thank you \"','',negative
'i still have a couple of vices , strong coffee and noodles , but have quit smoking , havent drunk for a couple of weeks and am feeling better about life','',positive
'my job is going really well , and i am getting a kick out of both going to work and coming home','',positive
'the pessimist in me awaits the phone call from the police or hospital or nuclear plant etc telling me the worst , crushing my hopes of a better tomorrow','',negative
'can you buy it','',neutral
'can you get there and back on a half tank of gas','',neutral
'we are all essentially the same person','',neutral
theoretically,'',neutral
'we both have the same tools ( a brain ) so why can not i come up with a grad theory of relativity','',neutral
'the brain is an amazing tool and can be sculpted for any purpose','',positive
'however most people do not exert the mental energy required to expand your train of thought','',neutral
'have you ever met anyone without a fully developed brain','',neutral
'listlessly they scratch at there head and the chains of thought do not delve to deep','',neutral
'do they know how lucky they are - to find contentment without looking','',positive
'more often you find things to bring you down or worry about','',negative
'a single lightning bolt from the sky can make a lifetime of panic and worry all worthless','',negative
'whatever thought can be imagined - someone has taken that to the extreme','',neutral
'life is finding the balance between compulsion and carelessness','',neutral
'i am not saying i am anything other then happy - but i strive for a balance','',positive
'the combination of all people balanced into one','',neutral
balanced,'',neutral
'happiness comes from within - your brain is a self regulating chemical factory','',positive
'but when you try to become your own mental chemist - ingesting chemicals to alter your feelings - you screw up the balance','',neutral
'the testes stop producing testosterone because it senses there is already too much testosterone in the system','',neutral
'the body is lazy - if you provide something for it - it stops providing for itself','',neutral
'so while cliche it is true','',neutral
'\" happiness lies within \" - the only way to be truly happy is to create it yourself and not rely on other people or things','',positive
'the happiness they bring is only temporary','',positive
'yet often that temporary happiness is more intense then a balanced contentment','',positive
'it is however usually accompanied by and equal sadness - it is life\'s way of balancing itself out in the endless pendulum swing of life','',negative
'first she is all mad because i have not called her back in a week','',negative
'second of all she is laughing hysterically because she had to put her dog on doggie drugs because the dog learned how to open the window to get out and seems to be jewish because she likes the temple down the road','',positive
'third she starts asking why i have only posted pics , so my dear sister , this is for you','',neutral
'i figure i have a couple extra bucks so i budget a certain amount','',neutral
'i almost bought this cool shiney glass \" tumbler up \" thingy','',neutral
'ok , the alignment was out on her bmw when she bought it and it wiped out the tires','',neutral
'i tend to think not','',neutral
'i called the mechanic and inquired about it','',neutral
'on that car , it will not affect alignment','',neutral
'she started questioning my credentials because she drives a school bus for a living and knows what a safe vehicle is . bitch','',negative
bitch,'',negative
'i got her less than $500.00 back','',neutral
bitch,'',negative
'i made lunch for a luncheon at work yesterday','',neutral
'they saw what i meant when they started eating it','',neutral
'as far as i can tell , it was a success','',positive
'they all complimented on it','',positive
'killin me he is . he\'s a great guy and i want to marry him for his kitchen , he liked that one , hahaha','',positive
