@relation training_data

@attribute text string
@attribute emotion {positive,neutral,negative}

@data
' All I can say is, knowing Ramus abilities from close quarters Im pretty sure even Ramesh uncle will be very proud of the film Ramu makes. ',positive
' The show is coming together awesome ',positive
' It will also be very technical as we work out kinks in the show with props and lighting ',neutral
' I stand by what I said in that I don\'t know if i\'m going to be filming ever again ',neutral
' But the rest of it came across as a really angry, drunken rant ',negative
' I don\'t know when or if I will end up seeing anyone again but please know that I can understand if you don\'t want to see me again ',neutral
' If anyone wants to give me a call I\'d be more than happy to answer it ',positive
' Hey all ! ',neutral
' lol ',positive
' My howland friend Alyssa came with me and we danced the night away.Most of my friends went which was awsome ',positive
' there was only a few of us single people there but it was cool ',positive
' which is one of the slow songs i got to dance with one of my friends Nick who graduated Mathews last year.Hes awsome we danced alot together!Luvs ',positive
' It was really cold tho ',neutral
' the dance was awsome.The music was really cool ',positive
' too much rap and not enough rock for my taste but it was all good I was just happy getting out on the dance floor and getting my groove on.lol ',positive
' I also got to see some howland people i once knew (Drew was one) That was pretty cool ',positive
' haha We did the Cha Cha slide and we were all so close together ',positive
' they need a bigger dance floor lmao ',neutral
' I just loved last night! ',positive
' Ha ',positive
' then Lyssa,me,matt,and Kayla couldn\'t find someplace good to eat that was open 1 in the morning so we all went in to giant eagle and bought junk food haha ',positive
' We were all in our homecoming dresses still ',neutral
' it was ammusing.hehehe.But yea overall I haven\'t had that much fun in a very long time! ',positive
' im done telling you about my wonderful night lol ',positive
' Ill be puting pics up soon ',neutral
' Grace Danielle was born Wendsday, October 11, 2006 at 11:48 AM ',neutral
' I can\'t believe she is FINALLY here!! 'positive
' After the doctor on Tuesday, I cleaned house, played basketball and soccer with Levi, then went to Amanda\'s to sit and talk with her while she moved in ',neutral
' Except she dosen\'t look a THING like me. Everyone seems to think she has alot of Daniel in her ',neutral
' :) Levi is really exciting to be a big brother, he thinks she is sooooo cool ',positive
' i\'ll be putting more pictures up probably sometime this week so keep your eye out for the AMAZING GRACE!! ',neutral
' I go to archbishop ryan high school ',neutral
' I want to go to CCP when i graduate and take up a career in either nursing or ultrasound technician ',neutral
' My life on the weekdays is tae kwon do its what i was born to do i love i there i love to teach people who want to be taught ',positive
' Everyone there is amazing its like my second home ',positive
' Thats about it if you want to know anything else about me just let me know ',neutral
' luckily we won that one ',positive
' then yesterday, the tournament in ajax ',neutral
' it was pertty goood ',positive
' annnd this morning we beat  gl roberts ',neutral
' overall it was a pretty good tournament ',positive
' and about me i guess ',neutral
' i\'m always happy with those ',positive
' had a good chill time with team at dever\'s house ',positive
' his dog was sooo cute ',neutral
' heh ',positive
' anyway ',neutral
' i don\'t know why ',neutral
' however i do miss volleyball ',negative
' Photobucket - Video and Image Hostin ',neutral
' Even it maybe means i won\'t see you screen again ',neutral
' So I went to spend the night at Irvine\'s Eye Patch\'s place ',neutral
' I woke up once during the dream and was like, "oh crap, no, go back" and managed to get back to it somehow ',negative
' o_ ',neutral
' So in the dream there were times where we were both kinda unsure, but it was still happy (for the both of us I hope) ',positive
' That\'s odd though, as I don\'t usually care for dressy occassions 'positive
' BUT HEY ',neutral
' I totally didn\'t want to wake up, I can say that ',neutral
' So yeah, I just had to share that ',neutral
' ;_ ',neutral
' RD, Sweet and someone else while that lady was doing my hair ',neutral
' WTF ',negative
' i\'m finally reading the amazing adventures of kavalier &amp; clay 'positive
' i got a copy for my birthday ',neutral
' i\'m not very far along but i\'m quite enjoying it ',positive
' i\'m in Buena Vista at these hot springs and it should be awesome but I didn\'t sleep one little bit last night ',positive
' It seriously took my 4 hours to fall asleep for like one half-hour then 10 minutes in between each of those little episodes ',neutral
' I don\'t want to go on a hike or anything at all ',neutral
' I think the pain and awkwardness of attending your reception is worth seeing your face again ',negative
' I could have danced with you ',neutral
' I miss you so much ',negative
' I ve never missed anyone so much as you ',negative
' i\'m sitting here in this lobby thing and crying and it\'s very embarassing but I can\'t help it because I just want you and me to run away and I want you to hold me for one whole night and rock me to sleep ',negative
' All that stuff I just have to imagine or dream up for now ',neutral
' I want to go home ',neutral
' I miss you ',negative
' Well Im finishing up my first week at Jubans, its really awesome ',positive
' They schedule me for Pantry whihc is like aps salads prep helper guy Im not exactly sure what my job is but I work the whole time Im there ',neutral
' We get drinks after work too and the food I can eat is awesome ',positive
' I got a B on my German Lit Test ',neutral
' messed up a Quiz in Biology which sucks ',negative
' Oh well its nothing too too bad but its making me nervous 'negative
' Truly horrifying footage of a Disney character orgy backstage at one of their shows. 'negative
' Well, not so much an orgy, but really rather amusing ',positive
' I just stood there in shock 'positive
' Various books on Classical Greek art are stacked about my room, waiting to be used for my Classical Civ essay ',neutral
' I ve left my Apollodorus Library of Greek Mythology on my bedside table, having just finished Jason and the Argonauts ',neutral
' Amanda, Latin, the verb "to love" ',neutral
' Humanities ',neutral
' Another slight parallel I find amusing: Jason played Heracles in Alcestes last year, just as I am playing Hippolyta in A Midsummer Night\'s Dream ',positive
' Sock n  Buskin is a really fun theatre company, i\'m liking my occaisional rehersal ',positive
' The point of this spiel wa ',neutral
' And by extensio ',neutral
' This awesome progra ',positive
' I had bought him a flask with the Latin inscription Te Amo on it ',neutral
' I spent a couple of hours on a trip last night/this morning in the early am ',neutral
' I spoke with the Earth, the sky and everything I feel is real ',neutral
' Heh ',neutral
' In style of zen Buddhism, I say that we are all wrong, the monkey is god, and apples are the truth ',neutral
' Phi ',neutral
' Actually, I think I dropped it in a bottomless puddle last night ',neutral
' So Adam and I went to App State to go hiking ',neutral
' i\'m broke like whoa, but i\'m still working ',neutral
' I ve been talking to Laura on the phone almost daily, and we re both very excited to see that little baby growing inside of her ',positive
' That would be so awesome ',positive
' Snow in October 'positive
' I haven\'t even seen snow in years and to have it in October it too much to wrap around my little head 'positive
' i\'m missing everyone in Wisconsin with the Blue Stars, and sad that I had to leave early ',negative
' Miss you guys ',negative
' Other than all of this i\'m still trying to move upstairs, and it looks like Tuesday will be the day ',neutral
' Hope all is well in your worlds ',neutral
' I can honestly say my views of the world I live in changed while in high school ',neutral
' I remember being so impressed, with the youth programs of the other parishes in my area, and the stong bond that everyone had withen their own groups, regardless of the social status of each person ',neutral
' Which was such a contrast when compared to the small group I belonged to ',neutral
' We began to help serve lunches at the local Loaves &amp; Fishes,  volunteer work for the school at our parish, offer lodging for other traveling youth groups ',neutral
' I remember doing endless fundraisers for almost everything we did ',neutral
' See, the whole time that I was trying to develop my own faith, attending events with other parishes, and all the work I did with my own group ',neutral
' And sadly ',negative
' Everyone has been given a gift in life ',neutral
' Simply by just listening to them speak, and more often just being in someones presence has been known to have the answer someone is looking for to just dawn on them ',neutral
' It was too much weight for me to carry, my own plus everyone elses ',negative
' and then it happened ',neutral
' My son ',neutral
' This is his first year in band ',neutral
' Every now and then ',neutral
' I get a jolt of something REAL loud and it makes me jump 'positive
' She is afraid to 'negative
' I hope that he can learn to play well and I really do hope he is enjoying himself ',positive
' No matter the pain is may cause the rest of the family ',negative
' As long as he is happy ',positive
' Perhaps a nice hot bubble bath and a bottle of rum would help ',neutral
' decided to go to work ',neutral
' But ',neutral
' Vegas was a lot of fun ',positive
' The reception was a friggen blast ',positive
' Champagne, music, and me trying to catch those damn flowers ',positive
' (didn\'t catch em by the by) Imagine this: My bro taking his neck tie off of marie\'s thigh with his teeth while "girls just wanna have fun" blasts in the background ',positive
' We went shooting in our regular spot out in the desert behind this mountain ',neutral
' (look at my pics) ',neutral
' add some jack and cokes and a wendy\'s drive through and it\'s a REAL party! ',positive
' My bro is leaving for Iraq again and, well, you know how that goes ',neutral
' As Sean put it, it\'s not like Vietnam where 4 of 5 americans will die, so that really put it into perspective for me. I know he\'ll be safe and come home in one piece, but the scary thought still kinda lingers in the background of my mind 'negative
' Everybody hates everybody, everybody lies, talks shit behind backs, and treats people like shit ',negative
' My mother truly wants to murder my father, and then gets pissed off when i don\'t agree with her ',negative
' UGH ',negative
' ya, i\'d say that\'s some fucked up shit ',negative
' =) It was the perfect end to a crappy day ',negative
' well you know ',neutral
' Basically, I just want to focus on staying busy and staying happy ',positive
' So, if you would like to contribute to the "make me smile" foundation", let\'s party ',positive
' after school I went home and got ready to go the the Homecoming parade ',neutral
' I rode on the firetruck w/ the cheerleders and v-ball players ',neutral
' that was sooo fun ',positive
' lol ',positive
' hehehehhe ;) neeeways ',positive
' after that we went to Wal-mart and walked around ',neutral
' :) At the game ',neutral
' WE WERE TOTALLY AWESOME!!! ',positive
' lol ',positive
' We won by several of points ',positive
' yay!!! ',positive
' lol ',positive
' after the game we went to the dance where I had the best night of my life!! ',positive
' was so awesome ',positive
' I cant even explain in words how much fun I had ',positive
' ;) hehehehe ',positive
' I can honestly say that was the best Homecomg ever!!! ',positive
' Its soooo sad b/c it was my last one ',negative
' :( at least I had a blast!!! ',positive
' lol ',positive
' but yea ',neutral
' I dont know what else to say except that I love spending time w/ Joe ',positive
' :) *sighs* lol ',positive
' And hanging out w/ Celeste and Matt was totally awesome 2!! ',positive
' Love u all! ',positive
' Broadcasting this time from the New World ',neutral
' Exciting, no ',positive
' So, to the task ',neutral
' where did we leave off ',neutral
' i\'ll start my narrative with a little anecdote about how small the world really is. So I was going to work one day, headed to one of the hostels around Berlin to pick people up for the tour, and then bring them back to the Brandenburg Gate where the tour starts ',neutral
' As I was preparing to leave, one guy over at the computers yelled out for me to wait, approached me and said hello ',neutral
' So he just took his backpack with him and came on my tour ',neutral
' We had a great time catching up, and went out that night together as well ',positive
' But it\'s certainly strange how you randomly run in to people you haven\'t seen in years, in little hole-in-the-walls in Europe 'positive
' Fun times ',positive
' And this particular piece was by far the best play I have EVER seen ',positive
' It was also incredibly simple, cutting the normally huge cast down to only seven performers 'positive
' It\'s moments like that that remind me why I ve chosen theatre as a profession ',neutral
' I was lucky enough to be able to stay with some friends to cut down on the cost, and see a different side of London life ',positive
' It was sooooo much fun ',positive
' I saw most of the major sites on my own, and I went to the theater almost every night I was there ',neutral
' The show was trash ',negative
' Horrible ',negative
' Horribly acted, horribly directed, weak script ',negative
' And interminably long ',negative
' Three hours of horror ',negative
' I wanted to leave at intermission, but my date was really enjoying it (should have been a sign) so we stayed ',positive
' I guess the one good thing I took from it was that I know now that the British are just as capable as we are of producing really awful work ',negative
' While in London I also saw Coriolanus at the Globe Theater ',neutral
' Now this was amazing 'positive
' The performers were incredible, and one of the generals was played by Geoffrey, the butler from Fresh Prince of Bellaire 'positive
' That in itself was hilarious, and made us love the show even more ',positive
' I also saw Les Miserables for the first time, and it was fun ',positive
' Loved London ',positive
' Loved the free museums ',positive
' Especially the British Museum ',neutral
' Soooo many monuments, including two statues in front of Buckingham Palace that had a conspicuous Communist message ',neutral
' Now maybe I was just reading too much into this, or maybe I had spent too much time in the eastern bloc talking about Communist symbolism ',neutral
' And the funniest part, the two statues said they were donated by New Zealand ',positive
' Curious 'positive
' next time you re in Wellington, watch out for the Kiwi Commies ',neutral
' Now I have a confession to make: before the World Cup began I had actually never seen an entire soccer game from start to finish ',neutral
' The hordes of people would change from day to day, for instance there was a three day period where we had over 90,000 Swedes in the city, leading up to their dramatic defeat at the hands of Zeh Germans 'positive
' Then there were the Brazilians, everywhere, singing-clapping-dancing-taking pictures, and of course the pale and pasty Brits with their cock-eyed stares and drinking songs ',positive
' Loads of fun ',positive
' I didn\'t have tickets to any of the games, but my group of friends would always go to a cafe or bar of the nationality that was playing to watch the match ',neutral
' So to a French cafe for the France-Swiss game, a Tapas bar when Spain played, drank Caiprinhas with the passionate Brazilians, etc. It was a colorful and hilarious way to take part without fighting the crowds ',positive
' Another interesting element was the latent patriotism that emerged during the Cup 'positive
' Now this merits explaining: before the World Cup began, if you waved a German flag in the streets, you would probably be called a Nazi and at the very least labeled as a radical right wing nutter ',neutral
' And for what it\'s worth I agree with them, it makes me nervous too 'negative
' So ',neutral
' People were genuinely excited about supporting their national team, and taking pride in its accomplishments ',positive
' Now this newfound enthusiasm certainly was not shared by everyone ',positive
' And of course no one can laboriously dissect an idea better than the Germans ',neutral
' In June I had also been training at work to lead tours of Sachsenhausen Concentration Camp, which I started at the end of the month ',neutral
' Given the dark history of such a place you can well imagine the difficulty of retelling that information, and trying to put it into some kind of historical context ',neutral
' After a July of beautiful weather and great summer adventures, I traveled with my good Australian friend Kurt to a theater festival in Cyprus ',positive
' The occasion was that a good friend of mine from North Texas, Jessica, was playing the title role in Medea at a theater festival there ',neutral
' Now this was ridiculous amounts of fun ',positive
' The city is a sweaty, dirty, polluted hole ',negative
' Take your impression of a squalor-filled Mediterranean capital, and add this to your image: 10 story apartment buildings everywhere, in 100 degree heat, all cooled by wall-mounted air conditioners, a.k.a. swamp boxes ',neutral
' Now imagine the condensation from thousands of swamp box coolers pitter pattering on your head as you stroll down the trashy Athens streets ',negative
' Now add a couple of poorly placed ancient columns ',neutral
' And the city itself really is lovely, in it\'s own way ',positive
' But two days back to back was more than enough ',neutral
' Now this was really amazing 'positive
' It took us about two hours to get out there, and then we climbed around and played on the rocks for about an hour, taking pics of the magnificent old temple ruin that is literally clinging to the cliff face ',neutral
' And then we watched in amazement with fifty other tourists as the sun went down in front of the temple, over the Mediterranean 'positive
' The sky is so amazing in Greece, it feels like you could really reach up and touch it, it\'s so close 'positive
' Just FYI ',neutral
' Not bad ',neutral
' Cyprus was amazing 'positive
' We saw Jessica\'s production of Medea, and were treated incredibly well by her colleagues at the festival 'positive
' We stayed in a tiny mountain village called Droushia, and these people brought hospitality to incredible new heights 'positive
' They did everything they could to make us feel welcome, everything from putting us up in a beautiful hotel, refusing to let us pay for anything, and making sure that our stay on their island was as enchanting as the stories always make it out to be ',positive
' Tomorrow we\'ll go somewhere special. ',neutral
' The next morning, the last day of the festival, they piled us all into four wheel drive vehicles, and took us off the map to an area that I will henceforth be labeling The Blue Lagoon ',neutral
' Imagine the most incredible, horseshoe shaped cove, with unimaginably blue water, and a giant stone underneath the water, hundreds of meters long and wide, adding depth to the color 'positive
' Our hosts had brought along a lunch of fresh fruit and we broke our fast on a cliff overlooking the whole gorgeous expanse ',neutral
' It was really interesting staying with them in this little mountain village, and getting to experience a bit of what their culture was all about ',positive
' Oh and the food is incredible 'positive
' But not feta ',neutral
' Haloumi has nothing to do with Feta ',neutral
' Its really a testament to the vision of the ancients that in our world of skyscrapers and technical gadgetry, we are still fascinated by a two thousand year-old arrangement of stones ',positive
' After returning from Greece my last few weeks in Berlin passed very quickly ',neutral
' The time flew by and before I knew it, August was at an end and my doorstep was graced by my best friend Lance, who had come to Berlin for my last week ',neutral
' So I spent the next six days in a haze of working my final tours, partying, and showing Lance the city that I had come to love so much over the last two years ',positive
' People say London or Paris is expensive; no ',neutral
' But we didn\'t let that discourage us ',neutral
' We had a ball in Zurich ',positive
' We went on a walking tour, went to the City Museum (located in an old castle, very cool), and had a good time relaxing and enjoying the AMAZING views ',positive
' The city is incredibly beautiful, tucked into the Alps and right on the water 'positive
' I think the most important thing I can say about this city, is that all of the rumors: That the city\'s dirty, the people are rude, the language barrier is insurmountable, the metro is incomprehensible, you things will be stolen, that they hate Americans ',negative
' It\'s called the city of love and light for a reason ',neutral
' The Eiffel Tower is breathtaking, and seeing it in person destroys its cliche and makes you fall in love with the thing ',positive
' The people are absolutely LOVELY ',positive
' We encountered so many genuinely wonderful, helpful, content people ',positive
' Everything from trying to order a baguette in the morning (my Francais is tres terrible) to asking directions or talking to cabbies, we were always pleasantly surprised at how open and welcoming they were 'positive
' And they all seem to really enjoy their city ',positive
' They know how beautiful it is, and they appreciate it ',positive
' And man, it is gorgeous ',positive
' And people are out in them all the time ',neutral
' There was a fabulous sense of community there ',positive
' My favorite part about the city parks were the  nap chairs ',positive
' There were people all over the place, and lots of benches and chairs ',neutral
' I thought: "that\'s strange, what\'s that about? 'positive
' We found out when we headed over to two of these chairs that were situated in the shade, and plopped down ',neutral
' We looked around and noticed that there were lots of people all over the park, in the municipal nap chairs, taking a snooze ',neutral
' so we did the same ',neutral
' What other city would use tax payer dollars to provide napping chairs in a public park ',neutral
' Vive la France ',positive
' We really had a ball in Paris ',positive
' We went to Versailles, we went to Notre Dame, and on a fabulous bike tour ',positive
' The most interesting thing we learned on the bike tour was that when the revolutionaries stormed the Bastille, there were only 7 prisoners left in it 'positive
' Montmartre, the old bohemian artist district, five minutes from the Sacre Coeur Cathedral ',neutral
' The Cathedral is the highest point in Paris, and from its northerly vantage point, you have the entire city spread out at your feet ',neutral
' It\'s a pretty breathtaking sight ',positive
' On the steps there was always sort of an impromptu party with musicians and performers and other city-watchers gathering with a bottle of wine and a merry spirit ',positive
' Those evenings on the steps are some of my favorite memories from Paris ',positive
' What an incredible end to an incredible journey 'positive
' Thus, is my two year Grande Tour at an end ',neutral
' I ve returned ready for a fresh start, collecting new experiences on this side of the pond ',neutral
' I was also lucky enough to be hired to direct a show for Frenship high school, which went up last Sunday ',positive
' It was a Commedia dell Arte piece titled The Red Hat, and went extremely well ',positive
' It was a nice way for me to get to stretch those theater muscles and earn a little something at the same time ',positive
' And though my European adventure is over (for the moment) my American one starts tomorrow ',neutral
' i\'m excited about the move, and the opportunities and challenges that await me there ',positive
' There was  a lot to pack in ',neutral
' I hope all of you are well; that you have made it through the summer, and are excited about the upcoming (rapidly approaching) holiday season ',positive
' I wish you all a fabulous week, and a warm and safe start to the wintry season ',positive
' All the best till we meet again ',neutral
' first day of school ',neutral
' My classes all seem fine ',neutral
' But math just sucks, and I ve accepted that ',negative
' Some of my teachers seem quite amazing, and others I know for a fact to be amazing 'positive
' So, all-in-all, pretty good, right ',positive
' Honestly, while I was dating the child, I barely saw him in school ',neutral
' Unless Brandon and Meg break up, that is.  Which is unlikely, so I shouldn\'t even hope on that one ',neutral
' I also found out that Junior year, will, in fact, be a bitch ',negative
' AP World is going to be the hardest thing i\'ll ever do (academically, anyway) ',neutral
' It\'s nothing a strong woman such as myself cannot handle with a little bit of DragonForce and mental pep talks ',neutral
' You can handle high school drama.") Also, I have so many friends, and all of them are true, caring, trustworthy friends who love me and are supporting me 100% ',positive
' I can come through this year triumphantly and with grace ',positive
' I have looked forward to this year even before last year ended ',neutral
' This is my year to be happy ',positive
' This is my year to try new things and to succeed ',positive
' This is the year when I get to test myself: my mind, my body, and myself ',neutral
' This is my first year of loving myself ',positive
' I also found out that Junior year, will, in fact, be a bitch ',negative
' I have recieved homework in four of my seven classes ',neutral
' Ah, well ',neutral
' ("You can deal with this, Nyssa ',neutral
' You can handle high school drama.") Also, I have so many friends, and all of them are true, caring, trustworthy friends who love me and are supporting me 100% ',positive
' I can come through this year triumphantly and with grace ',positive
' This is the year where everything happens ',neutral
' This is my year to be happy ',positive
' This is my year to try new things and to succeed ',positive
' This is my first year where I am truly Nyssa Jane Towsley ',neutral
' This is my first year of loving myself ',positive
' I look forward to learning and discovering even more of who I am, and loving every inch of it ',positive
' I cannot believe the nerve of this man. God 'positive
' I need to just ',neutral
' kill something ',negative
' I think I\'d really like to talk to you right now ',neutral
' at least they punched holes in it) that is my BIO lab course "book. ',neutral
' What\'s even worse, it\'s copied so poorly that the last half inch of text on the far right side of the page is cut off, so as I try to read in preparation for the lab tomorrow i\'m trying to coherently complete sentences and make sense of it all, which is often impossible because so much is left out ',negative
' Again, makes me so angry ',negative
' That\'s like, four or five or more meals ',neutral
' Or two meals in Europe ',neutral
' Poopy poopy poopy ',negative
' They pay room and board, and tuition and that\'s it ',neutral
' So I guess that counts for something ',neutral
' *cries* Such is life I spose ',negative
' I am in such a bad mood and i\'m playing the blame game in my head, getting angry at people for things that are really quite trivial ',negative
' I forgot how demeaning BME classes are ',negative
' I haven\'t ',neutral
' He was asking all these questions that I was completely baffled by and people were just spouting answers 'positive
' Sometimes I wonder how in the world I made it in, and every day I wonder how i\'m going to make it through 'positive
' I mean, we already need 133 (ish) hours to graduate which, for you non college people, is about 8-10 more than any engineering major and more than that more for a non engineering major ',neutral
' I need to find a good time/place where I can go pray and unwind ',neutral
' I don\'t feel like I ever have that kind of privacy where I can talk to God and cry and figure things out ',negative
' I always tear up in church too, for different reasons ',negative
' I love the way God brings people together ',positive
' Ok. i\'m feeling somewhat better now ',neutral
' Girls, I highly reccomend In Her Shoes, especially if you have a sister i\'m enjoying it immensely and it has effectively distracted from my schoolwork almost all day ',positive
' I think I spent the better part of two hours reading today ',neutral
' I spose i\'m off for now ',neutral
' These small indicators remind me that, in the Silvia Plath sense of the concept, i\'m dying ',negative
' Someday I will be no more than slime coating the expensive, cushiony, velvety inside of a coffin ',negative
' The rickety deck i\'m sitting on could fall, I could catch a stray bullet to the noggin on my way to my car in the parking lot, I could be nailed by a drunk, inattentive, careless, or simply unfortunate driver on the way home 'negative
' These are all unlikely, but they happen ',neutral
' My mortality is nothing new, but I constantly have to ponder what I desire to take, achieve, or feel in this life ',neutral
' rebuilt ',neutral
' saved ',neutral
' wrote ',neutral
' or do I simply want to live an average American life and be remembered under a large stone in a well kept cemetery, forgotten after my immediate reletaves, children, and grand children ',negative
' I could live in a suburban house environment with a family, a few cars, a boat, and a dog in the back yard ',neutral
' Or should I sink my money into trying to acquire more and live in a Parade of Homes house with yuppie vehicles in the front, a Mastercraft boat with a huge ski rack, the list can go on and on ',neutral
' Does an afterlife really exist ',neutral
' Should I start devoting myself to God, if there is such a being, in hopes of making it to Heaven ',neutral
' There would be a constant trepedation that there is no gold at the end of that rainbow 'negative
' No wonder past writers were able to produce their amazing feats of feeling and thought 'positive
' Their distractions were very limited ',neutral
' My thoughts at the moment are somewhat melancholy, but can be completely forgotten at the push of a button mounted to an  Xbox, Dvd player, or VCR ',negative
' The first words that come to mind are "in closing" or "to conclude", and then I quickly write a summary of what I just finished writing ',neutral
' I am now the proud father of Daisy Alexandria Davolls ',positive
' Its all official, we sorted it out at the civic centre on Friday ',neutral
' I now have a sweet little thing, that totally depends on her mum and me to do whats best ',positive
' Its a funny old game life, but I think I am one step closer to understanding its purpose and meaning now ',neutral
' I had a long hard look at my life over the last 14 days, and to be honest I wept ',negative
' I wept for all the mistakes I made where I put my feelings before the feelings of others ',negative
' I wept for all the times I said "f*ck you" instead of "thank you" ',negative
' I still have a couple of vices, strong coffee and noodles, but have quit smoking, havent drunk for a couple of weeks and am feeling better about life ',positive
' My job is going really well, and I am getting a kick out of both going to work and coming home ',positive
' The pessimist in me awaits the phone call from the police or hospital or nuclear plant etc telling me the worst, crushing my hopes of a better tomorrow 'negative
' can you buy it ',neutral
' can you get there and back on a half tank of gas ',neutral
' We are all essentially the same person ',neutral
' Theoretically ',neutral
' we both have the same tools (a brain) so why can\'t I come up with a grad theory of relativity ',neutral
' The brain is an amazing tool and can be sculpted for any purpose 'positive
' however most people don\'t exert the mental energy required to expand your train of thought ',neutral
' Have you ever met anyone without a fully developed brain ',neutral
' Listlessly they scratch at there head and the chains of thought don\'t delve to deep ',neutral
' Do they know how lucky they are - to find contentment without looking ',positive
' more often you find things to bring you down or worry about ',negative
' A single lightning bolt from the sky can make a lifetime of panic and worry all worthless 'negative
' Whatever thought can be imagined - someone has taken that to the extreme ',neutral
' Life is finding the balance between compulsion and carelessness ',neutral
' I am not saying I am anything other then happy - but I strive for a balance ',positive
' the combination of all people balanced into one ',neutral
' Balanced ',neutral
' Happiness comes from within - your brain is a self regulating chemical factory ',positive
' but when you try to become your own mental chemist - ingesting chemicals to alter your feelings - you screw up the balance ',neutral
' The testes stop producing testosterone because it senses there is already too much testosterone in the system ',neutral
' The body is lazy - if you provide something for it - it stops providing for itself ',neutral
' So while Cliche it is true ',neutral
' "Happiness lies within" - the only way to be truly happy is to create it yourself and not rely on other people or things ',positive
' the Happiness they bring is only temporary ',positive
' Yet often that temporary happiness is more intense then a balanced contentment ',positive
' It is however usually accompanied by and equal sadness - it is life\'s way of balancing itself out in the endless pendulum swing of life ',negative
' First she is all mad because I haven\'t called her back in a week ',negative
