@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'can handle high \" also , have so many , and of are true , caring , trustworthy who love and are supporting','',positive
'can come through triumphantly and with','',positive
'have looked forward even before last ended','',neutral
'is be happy','',positive
'is try new and succeed','',positive
'is when get test : , , and','',neutral
'is first of loving','',positive
'also found out , will , in , be','',negative
'have recieved in of','',neutral
'ah , well','',neutral
'\" can deal with ,','',neutral
'can handle high \" also , have so many , and of are true , caring , trustworthy who love and are supporting','',positive
'can come through triumphantly and with','',positive
'is where happens','',neutral
'is be happy','',positive
'is try new and succeed','',positive
'is first where am truly','',neutral
'is first of loving','',positive
'look forward learning and discovering even more of who am , and loving of','',positive
'cannot believe of','',positive
'need just','',neutral
kill,'',negative
'think really like talk right now','',neutral
'at least punched in that is \"','',neutral
'even worse , copied so poorly that last of on far right of is cut off , so as try read in for trying coherently complete and make of , which is often impossible because so much is left out','',negative
'again , makes so angry','',negative
'like , or or more','',neutral
'or in','',neutral
'','',negative
'pay and , and and','',neutral
'so guess counts for','',neutral
'* cries * such is spose','',negative
'am in such bad and playing in , getting angry at for that are really quite trivial','',negative
'forgot how demeaning are','',negative
'have not','',neutral
'was asking that was completely baffled by and were just spouting','',positive
'sometimes wonder how in made in , and wonder how going make through','',positive
'mean , already need graduate which , for non , is about more than major and more than more for non major','',neutral
'need find good where can go pray and','',neutral
'do not feel like ever have of where can talk and cry and figure out','',negative
'always tear up in too , for different','',negative
'love brings together','',positive
'ok feeling somewhat better now','',neutral
', highly reccomend in , especially if have enjoying immensely and has effectively distracted from almost','',positive
'think spent better of reading','',neutral
'spose off for now','',neutral
'small remind , in of , dying','',negative
'someday will be more than expensive , , velvety inside of','',negative
'rickety sitting on could fall , could catch stray on in , could be nailed by drunk , inattentive , careless , or simply unfortunate on','',negative
'are unlikely , but happen','',neutral
'is new , but constantly have ponder what desire take , achieve , or feel in','',neutral
rebuilt,'',neutral
saved,'',neutral
wrote,'',neutral
'or do simply want live and be remembered under large in well kept , forgotten after immediate , , and grand','',negative
'could live in suburban with , few , , and in','',neutral
'or should sink into trying acquire more and live in of with in , with huge , can go on and on','',neutral
'does really exist','',neutral
'should start devoting , if there is such , in hopes of making','',neutral
'there would be constant that there is at of','',negative
'past were able produce amazing of feeling and thought','',positive
'were very limited','',neutral
'at are somewhat melancholy , but can be completely forgotten at of , , or','',negative
'first that come are \" in closing \" or \" conclude \" , and then quickly write of what just finished writing','',neutral
'am now proud of','',positive
', sorted out at on','',neutral
'now have sweet little , totally depends on and do whats best','',positive
'funny old , but think am closer understanding and now','',neutral
'had long hard at over last , and be honest wept','',negative
'wept for made where put before of','',negative
'wept for said \" f*ck \" of \" thank \"','',negative
'still have of , strong and , but have quit , havent drunk for of and am feeling better about','',positive
'is going really well , and am getting out of going and coming','',positive
'in awaits from or or nuclear telling worst , crushing hopes of better','',negative
'can buy','',neutral
'can get there and back on of','',neutral
'are essentially same','',neutral
theoretically,'',neutral
'have same so why can not come up with of','',neutral
'is amazing and can be sculpted for','',positive
'however most do not exert mental required expand of thought','',neutral
'have ever met without fully developed','',neutral
'listlessly at and of thought do not delve deep','',neutral
'do know how lucky are - find without looking','',positive
'more often find bring down or worry about','',negative
'single from can make of and worry worthless','',negative
'whatever thought can be imagined - has taken that extreme','',neutral
'is finding between and','',neutral
'am not saying am other then happy - but strive for','',positive
'of balanced into','',neutral
balanced,'',neutral
'comes from within - is regulating','',positive
'but when try become own mental - ingesting alter - screw up','',neutral
'stop producing because there is already too much in','',neutral
'is lazy - if provide for - stops providing for','',neutral
'so while is true','',neutral
'\" within \" - only be truly happy is create and not rely on other or','',positive
'bring is only temporary','',positive
'yet often temporary is more intense then balanced','',positive
'is however usually accompanied by and equal - is of balancing out in endless of','',negative
'first is mad because have not called back in','',negative
'second of is laughing hysterically because had put on because learned how open get out and seems be jewish because likes down','',positive
'third starts asking why have only posted , so , is for','',neutral
'figure have extra so budget certain','',neutral
'almost bought cool shiney \" up \"','',neutral
'ok , was out on when bought and wiped out','',neutral
'tend think not','',neutral
'called and inquired about','',neutral
'on , will not affect','',neutral
'started questioning because drives for and knows what safe is','',negative
'','',negative
'got less than back','',neutral
'','',negative
'made for at','',neutral
'saw what meant when started eating','',neutral
'as far as can tell , was','',positive
'complimented on','',positive
'killin is great and want marry for , liked , hahaha','',positive
'well , what can say , has great , and best cooking , does not even cook','',neutral
'great and think of','',positive
'need figure what going throw out so can move from of of occupy','',neutral
'are from','',neutral
'by listening and asking why are feeling particular can discover need or has been satisfied','',neutral
'for , if feel sad because have not seen in long need for has not been met','',negative
'on , if feel happy because have spent with then need for has been met','',positive
'how many have felt angry and as insulted , judged , criticized , blamed or physically hurt','',negative
'live in that has encourages stuff and that is by most illiterate','',negative
'so , what can do','',neutral
'can become of what is going on inside','',neutral
', of , has for that incorporates identifying and needs into','',neutral
'also calls \"','',neutral
'is about long and thick around','',neutral
'by stating and needs avoid blaming and criticizing','',negative
'can then go on making instead of help satisfy now recognized need','',neutral
'when are angry or upset with can also use on','',negative
'if are not correct will correct and will be closer identifying need have and finding resolve','',neutral
'can make of and be on out for','',neutral
'for , if feel furious may be better take and calm down','',negative
'then when are calm , focus on sharing and needs with','',neutral
'many in past have reacted like when feel angry or frustrated with or','',negative
'for more on here','',neutral
'- had of good vanila at , lets just say was satisfying','',positive
'- was fun with best , managed run out of by and had for at','',positive
'- at was awesome , did not want leave','',positive
'was , , , great','',positive
', beautiful , and manage pull off by of','',positive
'- felt sick eating crappy , but now back into bad of , , and eating on','',negative
'- was coming for in , and decided come along , so now abit booking and , will be depressed when','',negative
'- help out with at , with conservative , had of taking of and whole','',neutral
'- going on next can not wait get pissed with','',negative
'sorry for rather crappy , will try do proper later','',negative
yay,'',positive
'- might be going hskp as will be , occational really hope pick , had enough of','',neutral
'do not know what in is for but >> ve been sick and on of ._. ; do not know why','',negative
'talked earlier on for first since added and yeah , was fun guess','',positive
'have not been quite in , woke up early because brought , and then went back','',neutral
'called few ago on and were at so guess was out of','',neutral
'do not know why , just drained of and want cry constantly and for do not know why','',negative
'','',neutral
'do not know what happened , woke up feeling down and miserable and worse','',negative
'losing out of love do and never good','',negative
'do not even feel like doing right now and having force update','',neutral
'was funny , mentioned if got out about have escape avoid , holy/hold , and and yeah xd suggested could try and make but then suggested could sneak into and steal','',positive
'was hilarious','',positive
'but not be taken literally , re just insane','',neutral
'chatting with on , seem have in common with n.n fun','',positive
'','',neutral
'said will be back','',neutral
'can live with , wish had do though ._. ; feel lonely','',negative
yep,'',neutral
'dunno what else say though except shocking that updating early','',positive
'other than that also got from get adopted up since and etc meh , miss','',negative
't_t eheh','',neutral
'but heh , basically','',neutral
'well short anyway','',neutral
'yet white that even has and saying hey , hold on second','',neutral
'yes , that many around traditionally wear','',neutral
listen,'',neutral
'let\'s clarify','',neutral
'is often interpreted as being , where heads are completely covered so as see only , or in at','',neutral
'is called','',neutral
'in actually means or','',neutral
'is actual','',neutral
'requires be modest , henceforth many of wear , or','',neutral
', or legal makes clear are not obliged wear - but rather is cultural within more conservative or radical of just like has right','',neutral
'most certainly raised even more anti-muslim but also more anti-french even amongst own non-christian','',negative
'have passed similar , much of large turkish-muslim','',negative
', famous for true amongst , have began treading in murky','',neutral
'not on','',neutral
', but edgy is not so happy about','',negative
'and afraid could get ugly','',negative
'clearly stated that feels should go -- but that should be over of and from within','',neutral
'not mention many are saying should thank for','',neutral
'what do know is that there are many , many who absolutely voluntarily and willingly cover with for religious','',neutral
'is also true that many in wear','',neutral
'says , -- look like sexy french with hanging out','',neutral
'has similar','',neutral
'now has large female turkish coming study here so can wear what wish','',neutral
'is very secular , and indeed seen by most european as of of want being taught in increasing of and madressa\'s within','',neutral
'is accepted and tolerated , as are which is extremely small of','',neutral
'too have yet seriously and of indigenous white - who have opened from of worst economically and socially oppressed','',negative
'has swing','',neutral
'too need understand and of secular who now have deal with strict within own','',negative
'if western can run around naked , can eastern completely cover','',neutral
'there is and white','',neutral
'and look at other','',neutral
'extremely sad say that looks as though will be on as of past','',negative
'essentially , is toggling with what , musically , wants pursue whether be or not , whereas in of , have decided leave','',neutral
'with , of new that never were will be posted shortly for of who want hear','',neutral
'sorry for , and can not speak for else , but rather have now than later','',negative
'individual are under \" \"','',neutral
'will receive of and/or of new involving from past or pseudo-present','',neutral
'well , arrived','',neutral
'bad is that got that , , passed away last','',negative
'knew was not doing well has not been for now , but kept rallying , so was not at , but still sad','',negative
'think was waiting for leave for here','',neutral
', , is of and is very traditional in','',neutral
'and came over collect great-nephew ,','',neutral
'wanted b stay at least for so that had off play with','',neutral
'still are not sure what is going on with transplanted as appears be \" peeling like \" , but and and such are leveling out and is feeling better','',positive
'hey , how has been lately','',neutral
'and there has been so much going on','',neutral
'do know','',neutral
'so last was long and was sooo sweeeet','',positive
'came back from and was surprisingly nice spend with again','',positive
'lol just kidding','',positive
'anyways , on got see of favourite and was really fun as well 😃 go',😃,positive
'and believe that gave amazing for specific and there\'s turning down','',positive
'please just pray for and and other who are going not sure who yet so shall keep on','',neutral
lol,'',positive
'just feel like re getting caught in of hehe what funny and just wanted urge not forget about checking up on other','',positive
'sometimes , need is little or get going again','',neutral
'😄 lol wow',😄,positive
'besides from random by hope know what trying get at , because know for , how is need help through','',neutral
'first of , would like say that am proud of','',positive
'what completed in , was not possible last','',neutral
'walked into first only find','',neutral
'asked if did not taking over , and of complied','',neutral
'so rang , introduced and took over','',neutral
'allowed finish up from before began new of','',neutral
'was very short so gave go along with','',neutral
'ran smoothly under most suprisingly actually liked being thrown into without having prior','',positive
'on other , did know was teach full for &','',neutral
'began by explaining what \" \" meant','',neutral
'give better of how \" \" works , presented with that wrote on','',neutral
'after was done reading , had tell what was had created','',neutral
'was into','',neutral
'gave brief on and before began','',neutral
'after certain , would have go over just make sure were following along','',neutral
'after , asked take out of','',neutral
'answered on , then shared out as','',neutral
'wow , hardly ever have','',positive
'went , and was gone almost , and going skating with of','',neutral
'','',neutral
'and decided pay for , so got free','',positive
'tried pay back , but would not let so got free sweet green , too','',positive
rocks,'',positive
'was gonna call best and see if wanted go , but was not there','',neutral
'not skating-type , though','',neutral
'will just have drag down of , lol','',positive
'love skating','',positive
'always fall on , though','',neutral
'outgrew , and do not like renting','',neutral
o___,'',neutral
'what can say','',neutral
amazing,'',positive
'like , most definetely on top favorite','',positive
'in , there\'s only about will buy ,','',neutral
'and yes , read , of from other','',neutral
'','',neutral
'love making up , , and writing down','',positive
know,'',neutral
'and after reading about how real are','',neutral
'pretty much are bland','',negative
'leads , not who','',neutral
'what like eat , what like , and don','',positive
'','',negative
'well , know that of are , too','',neutral
hm,'',neutral
'well , on writing would be appreciated','',positive
'when ordering , mean','',neutral
'actually enjoy driving around','',positive
'know how pronounce of like , , , and','',neutral
'know that there are , and that re','',negative
'know what sell at','',neutral
'can actually find around','',neutral
'know at least named , , , , or','',neutral
'have never been','',neutral
'of is taught in public','',negative
'own \" suck \" or','',negative
'think is greatest ever','',neutral
'pray for win not , but in','',neutral
'know \" \" is also of can get at','',neutral
'never go \" \" , go \" down \"','',neutral
're aware that there is , somewhere in , named where have biggest outdoor antique in','',neutral
'know that is of strange dividing','',neutral
'do not recognize \" \" as of','',neutral
've slammed on deter at least , and sets in if can not see , or within at','',neutral
'still try order curly from order iced in know what candlepin is drive save in tax ve pulled out of and used block oncoming so can make','',neutral
've bragged about ve saved at know what \" regular \" is actually get and pass on other from','',positive
'so , ok , like before last , but thought was funny enough mention',ok,positive
'so and were chilling out at , after being out , and decided step out on for quick','',positive
'well , new ; , went running out onto and barking up , as stuck out , there sat stupid young trying break into across','',negative
'asked \" is white or \"','',neutral
'came , talked for and then drove down second','',neutral
', unfortunately , broken into already and was out','',negative
'pick up on and call wihle walking behind','',negative
'come outta nowhere','',positive
'so investigate in','',neutral
'so basically ve met new and have like going on now','',neutral
'but now feel much happier and safer , and love did mention was after occurred','',positive
'still love , even though woke up at of','',positive
beautiful,'',positive
'😮 although feel like ve been on really bad of & order now',😮,negative
'there are in when find at','',neutral
'afraid , confused , without','',negative
'of , when faced with unknown many of would turn around and run back','',negative
'but once in , push on','',neutral
'into better','',positive
'just beyond of going on alone and just beyond and takes let in , or let fade away','',negative
'and only when tested that discover who can be','',neutral
'worst have been personified','',negative
'','',neutral
'','',neutral
'only know that could be anytime within next','',negative
'there\'s else can say or do change','',neutral
'woot finally got with','',positive
'kinda bad because was feeling really sad/unhappy baught','',negative
'but ve been wanting for like now , just never had , and never wanted charge','',neutral
'but oh was bad and put on best','',negative
'got , and oooh so sexy','',positive
'got for , but need get clear protective for too','',neutral
'maybe full too , because came with is little too snug , have force into','',negative
hey,'',neutral
~,'',neutral
lost,'',neutral
eh,'',positive
'not that much but hey','',positive
'is changing','',neutral
'had first just other , have gone sleep and finally have stopped falling on and scaring when take still lame out take before','',negative
'of have happened in past , since of','',neutral
'very dear of have lost very important in , and have had be strong can lean on','',negative
'though do not tiny has been odd for rarely strong','',positive
'am usually reduced laying on big green in fetal eating leftover and crying about and at once','',negative
'turns out has just made pretty much that thought knew','',neutral
'did not see coming','',positive
'well , maybe do','',neutral
'but scares even more','',negative
'talk about','',neutral
'love dearly and will forever , but definately was not ready for','',positive
'find again , stuck in where have rediscover over again','',neutral
'in , lost','',negative
'feel lost','',negative
'very disconnected and , not sure where go from here','',negative
'but do not want admit yet','',neutral
'so stay tuned','',neutral
'for :','',neutral
'gotta milk for re worth','',negative
'do not get for more','',neutral
'have great for new','',positive
'want get done in for next','',neutral
'well , seem have done','',neutral
'did not mean hurt at','',negative
'was just scared','',negative
'scared of','',negative
'look ahead and want see being successful , married , with , and great','',positive
'however , seems have been making are hindering','',neutral
un-happy,'',negative
'get , commit and do not want','',neutral
'do not want get hurt','',negative
'* sighs * have bad of hurting before can hurt like if think could and might hurt then hurt first','',negative
'then think if commit only , what if missing out on else','',negative
'what if is not for and making huge','',negative
'but then also think what if are','',neutral
'say , \" , do , \" say , \" , do','',neutral
'don\'t know','',neutral
'will wait for show what wants do','',neutral
'just have when start trying do without and never works','',neutral
'will post back when get','',neutral
'welp has been long tiring lol','',positive
'lay on and zonks out pretty fast and now so used will not sleep in or so have find for sleep in','',neutral
'says not let on for and only sleeps good','',positive
lol,'',positive
'need though will tell that lol','',positive
lol,'',positive
'sleeps most of and then never sleeps at','',neutral
'oh well know that comes along with having lol','',positive
'will be glad when gets here so can go and then can come back and take little','',positive
'am not thrilled about going over there','',neutral
'lol , and so figgured would just go','',positive
haha,'',positive
'what get for rubbing in that and not','',neutral
lol,'',positive
', had , , other that are , and of other lol','',positive
